INSERT INTO `emprestimos` (`id_emprestimo`, `numero_conta`, `nome_completo`, `genero`, `estado_civil`, `dependentes`, `educacao`, `emprego`, `propriedade`, `credito`, `renda_mensal_requerente`, `renda_mensal_co_requerente`, `valor_emprestimo`, `duracao_emprestimo`, `resultado_predicao`, `data_registro`) VALUES
(179, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(180, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(181, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(182, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(183, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(184, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(185, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(186, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(187, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(188, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(189, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(190, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(191, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(192, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(193, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(194, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(195, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(196, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(197, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(198, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(199, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(200, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(201, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(202, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(203, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(204, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(205, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(206, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(207, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(208, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(209, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(210, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(211, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(212, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(213, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(214, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(215, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(216, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(217, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(218, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(219, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(220, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(221, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(222, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(223, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(224, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(225, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(226, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(227, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(228, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(229, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(230, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(231, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(232, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(233, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(234, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(235, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(236, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(237, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(238, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(239, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(240, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(241, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(242, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(243, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(244, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(245, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(246, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(247, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(248, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(249, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(250, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(251, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(252, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(253, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(254, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(255, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(256, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(257, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(258, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(259, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(260, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(261, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(262, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(263, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(264, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(265, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(266, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(267, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(268, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(269, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(270, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(271, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(272, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(273, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(274, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(275, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(276, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(277, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(278, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(279, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(280, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(281, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(282, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(283, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(284, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(285, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(286, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(287, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(288, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(289, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(290, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(291, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(292, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(293, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(294, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(295, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(296, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(297, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(298, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(299, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(300, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(301, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(302, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(303, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(304, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(305, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(306, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(307, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(308, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(309, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(310, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(311, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(312, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(313, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(314, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(315, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(316, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(317, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(318, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(319, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(320, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(321, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(322, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(323, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(324, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(325, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(326, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(327, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(328, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(329, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(330, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(331, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(332, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(333, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(334, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(335, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(336, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(337, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(338, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(339, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(340, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(341, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(342, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(343, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(344, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(345, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(346, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(347, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(348, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(349, '955', 'Jennifer Parker', '0', '1', '1', '1', '0', '2', '0', 784.00, 337.00, 115037.00, 240, 0, '2023-12-08 06:00:57'),
(350, '790', 'Joseph Warren', '1', '1', '2', '0', '0', '2', '0', 280.00, 257.00, 138218.00, 360, 0, '2023-12-08 06:00:57'),
(351, '872', 'Miss Monica Allison', '1', '0', '3', '1', '1', '0', '0', 792.00, 412.00, 82657.00, 240, 0, '2023-12-08 06:00:57'),
(352, '013', 'Paulo Bunga', '1', '1', '1', '1', '0', '0', '0', 150.00, 0.00, 100000.00, 240, 0, '2023-12-08 06:00:57'),
(353, '010', 'Jo�o Baptista', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(354, '157', 'Brenda Goodwin', '0', '1', '2', '0', '1', '0', '1', 156.00, 377.00, 130068.00, 240, 0, '2023-12-08 06:00:57'),
(355, '0111', 'Chad Boseman', '1', '0', '1', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(356, '2341', 'Helder Verissmo', '1', '0', '0', '1', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(357, '92399', 'Helder Verissmo', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
(358, '92399', 'Mr.Sebastian', '1', '0', '0', '0', '0', '2', '1', 15000.00, 200.00, 500.00, 240, 1, '2023-12-08 06:00:57'),
